seed,score,lost
9600399,10,False
9600400,10,False
9600401,14,False
9600402,14,False
9600403,10,False
9600404,11,False
9600405,14,False
9600406,12,False
9600407,16,False
9600408,11,False
9600409,10,False
9600410,8,False
9600411,12,False
9600412,12,False
9600413,14,False
9600414,10,False
9600415,10,False
9600416,14,False
9600417,11,False
9600418,11,False
9600419,10,False
9600420,12,False
9600421,11,False
9600422,12,False
9600423,13,False
9600424,12,False
9600425,10,False
9600426,12,False
9600427,9,False
9600428,10,False
9600429,10,False
9600430,12,False
9600431,8,False
9600432,10,False
9600433,8,False
9600434,14,False
9600435,11,False
9600436,10,False
9600437,10,False
9600438,12,False
9600439,12,False
9600440,14,False
9600441,7,False
9600442,12,False
9600443,12,False
9600444,14,False
9600445,12,False
9600446,11,False
9600447,12,False
9600448,14,False
9600449,14,False
9600450,14,False
9600451,9,False
9600452,10,False
9600453,10,False
9600454,14,False
9600455,12,False
9600456,10,False
9600457,12,False
9600458,14,False
9600459,14,False
9600460,14,False
9600461,14,False
9600462,10,False
9600463,11,False
9600464,12,False
9600465,14,False
9600466,13,False
9600467,12,False
9600468,13,False
9600469,9,False
9600470,12,False
9600471,11,False
9600472,10,False
9600473,14,False
9600474,14,False
9600475,10,False
9600476,13,False
9600477,13,False
9600478,12,False
9600479,12,False
9600480,12,False
9600481,16,False
9600482,12,False
9600483,16,False
9600484,14,False
9600485,14,False
9600486,14,False
9600487,11,False
9600488,11,False
9600489,10,False
9600490,16,False
9600491,13,False
9600492,11,False
9600493,11,False
9600494,12,False
9600495,12,False
9600496,11,False
9600497,11,False
9600498,14,False
9600499,10,False
9600500,10,False
9600501,10,False
9600502,13,False
9600503,10,False
9600504,10,False
9600505,12,False
9600506,14,False
9600507,12,False
9600508,11,False
9600509,15,False
9600510,13,False
9600511,14,False
9600512,12,False
9600513,14,False
9600514,16,False
9600515,10,False
9600516,14,False
9600517,14,False
9600518,12,False
9600519,12,False
9600520,10,False
9600521,12,False
9600522,16,False
9600523,12,False
9600524,10,False
9600525,13,False
9600526,12,False
9600527,12,False
9600528,12,False
9600529,14,False
9600530,14,False
9600531,10,False
9600532,9,False
9600533,16,False
9600534,8,False
9600535,8,False
9600536,12,False
9600537,11,False
9600538,12,False
9600539,9,False
9600540,12,False
9600541,9,False
9600542,12,False
9600543,10,False
9600544,12,False
9600545,13,False
9600546,10,False
9600547,11,False
9600548,14,False
9600549,4,False
9600550,12,False
9600551,10,False
9600552,11,False
9600553,14,False
9600554,14,False
9600555,9,False
9600556,10,False
9600557,11,False
9600558,14,False
9600559,10,False
9600560,12,False
9600561,11,False
9600562,12,False
9600563,14,False
9600564,11,False
9600565,11,False
9600566,9,False
9600567,11,False
9600568,10,False
9600569,12,False
9600570,9,False
9600571,12,False
9600572,9,False
9600573,10,False
9600574,10,False
9600575,12,False
9600576,12,False
9600577,12,False
9600578,12,False
9600579,10,False
9600580,12,False
9600581,9,False
9600582,14,False
9600583,12,False
9600584,8,False
9600585,12,False
9600586,12,False
9600587,9,False
9600588,16,False
9600589,16,False
9600590,12,False
9600591,8,False
9600592,10,False
9600593,14,False
9600594,16,False
9600595,14,False
9600596,9,False
9600597,9,False
9600598,11,False
9600599,11,False
9600600,14,False
9600601,14,False
9600602,10,False
9600603,12,False
9600604,13,False
9600605,13,False
9600606,14,False
9600607,11,False
9600608,16,False
9600609,10,False
9600610,11,False
9600611,14,False
9600612,18,False
9600613,13,False
9600614,12,False
9600615,10,False
9600616,14,False
9600617,11,False
9600618,10,False
9600619,12,False
9600620,10,False
9600621,10,False
9600622,12,False
9600623,11,False
9600624,14,False
9600625,12,False
9600626,11,False
9600627,13,False
9600628,14,False
9600629,9,False
9600630,12,False
9600631,16,False
9600632,13,False
9600633,12,False
9600634,12,False
9600635,14,False
9600636,10,False
9600637,12,False
9600638,14,False
9600639,11,False
9600640,18,False
9600641,13,False
9600642,11,False
9600643,12,False
9600644,14,False
9600645,9,False
9600646,10,False
9600647,14,False
9600648,12,False
9600649,14,False
9600650,14,False
9600651,12,False
9600652,13,False
9600653,13,False
9600654,11,False
9600655,14,False
9600656,12,False
9600657,16,False
9600658,11,False
9600659,10,False
9600660,13,False
9600661,12,False
9600662,12,False
9600663,13,False
9600664,10,False
9600665,10,False
9600666,6,False
9600667,12,False
9600668,12,False
9600669,11,False
9600670,14,False
9600671,12,False
9600672,12,False
9600673,12,False
9600674,14,False
9600675,12,False
9600676,10,False
9600677,12,False
9600678,12,False
9600679,9,False
9600680,14,False
9600681,12,False
9600682,15,False
9600683,12,False
9600684,12,False
9600685,10,False
9600686,16,False
9600687,12,False
9600688,10,False
9600689,10,False
9600690,10,False
9600691,14,False
9600692,12,False
9600693,14,False
9600694,14,False
9600695,13,False
9600696,10,False
9600697,12,False
9600698,9,False
9600699,10,False
9600700,11,False
9600701,9,False
9600702,10,False
9600703,9,False
9600704,13,False
9600705,13,False
9600706,16,False
9600707,9,False
9600708,10,False
9600709,13,False
9600710,11,False
9600711,10,False
9600712,10,False
9600713,13,False
9600714,11,False
9600715,14,False
9600716,12,False
9600717,12,False
9600718,11,False
9600719,12,False
9600720,11,False
9600721,11,False
9600722,11,False
9600723,14,False
9600724,13,False
9600725,14,False
9600726,11,False
9600727,12,False
9600728,10,False
9600729,6,False
9600730,11,False
9600731,11,False
9600732,12,False
9600733,10,False
9600734,10,False
9600735,10,False
9600736,9,False
9600737,12,False
9600738,14,False
9600739,10,False
