策略,是否失败,总分,回合数,seed,达到12+,达到14+
neural_ai,False,6,21,1200158,0,0
neural_ai,True,0,7,1200159,0,0
neural_ai,True,0,7,1200160,0,0
neural_ai,True,0,14,1200161,0,0
neural_ai,True,0,7,1200162,0,0
neural_ai,True,0,14,1200163,0,0
neural_ai,True,0,7,1200164,0,0
neural_ai,True,0,14,1200165,0,0
neural_ai,True,0,14,1200166,0,0
neural_ai,False,8,21,1200167,0,0
neural_ai,True,0,21,1200168,0,0
neural_ai,True,0,7,1200169,0,0
neural_ai,True,0,7,1200170,0,0
neural_ai,True,0,7,1200171,0,0
neural_ai,True,0,14,1200172,0,0
neural_ai,True,0,14,1200173,0,0
neural_ai,True,0,14,1200174,0,0
neural_ai,True,0,14,1200175,0,0
neural_ai,True,0,14,1200176,0,0
neural_ai,True,0,7,1200177,0,0
neural_ai,True,0,14,1200178,0,0
neural_ai,True,0,7,1200179,0,0
neural_ai,False,6,21,1200180,0,0
neural_ai,True,0,7,1200181,0,0
neural_ai,True,0,14,1200182,0,0
neural_ai,True,0,14,1200183,0,0
neural_ai,True,0,7,1200184,0,0
neural_ai,True,0,7,1200185,0,0
neural_ai,True,0,14,1200186,0,0
neural_ai,True,0,7,1200187,0,0
neural_ai,True,0,7,1200188,0,0
neural_ai,True,0,14,1200189,0,0
neural_ai,True,0,7,1200190,0,0
neural_ai,True,0,14,1200191,0,0
neural_ai,True,0,7,1200192,0,0
neural_ai,True,0,7,1200193,0,0
neural_ai,True,0,7,1200194,0,0
neural_ai,True,0,7,1200195,0,0
neural_ai,True,0,7,1200196,0,0
neural_ai,True,0,7,1200197,0,0
neural_ai,True,0,7,1200198,0,0
neural_ai,True,0,14,1200199,0,0
neural_ai,True,0,7,1200200,0,0
neural_ai,False,9,21,1200201,0,0
neural_ai,True,0,7,1200202,0,0
neural_ai,True,0,14,1200203,0,0
neural_ai,True,0,14,1200204,0,0
neural_ai,True,0,7,1200205,0,0
neural_ai,False,7,21,1200206,0,0
neural_ai,True,0,7,1200207,0,0
neural_ai,True,0,7,1200208,0,0
neural_ai,True,0,14,1200209,0,0
neural_ai,True,0,7,1200210,0,0
neural_ai,True,0,14,1200211,0,0
neural_ai,True,0,14,1200212,0,0
neural_ai,True,0,7,1200213,0,0
neural_ai,False,6,21,1200214,0,0
neural_ai,True,0,7,1200215,0,0
neural_ai,True,0,14,1200216,0,0
neural_ai,True,0,7,1200217,0,0
neural_ai,True,0,7,1200218,0,0
neural_ai,False,7,21,1200219,0,0
neural_ai,True,0,7,1200220,0,0
neural_ai,True,0,7,1200221,0,0
neural_ai,True,0,7,1200222,0,0
neural_ai,True,0,7,1200223,0,0
neural_ai,True,0,14,1200224,0,0
neural_ai,True,0,7,1200225,0,0
neural_ai,True,0,14,1200226,0,0
neural_ai,True,0,14,1200227,0,0
neural_ai,True,0,14,1200228,0,0
neural_ai,True,0,14,1200229,0,0
neural_ai,True,0,7,1200230,0,0
neural_ai,False,9,21,1200231,0,0
neural_ai,True,0,7,1200232,0,0
neural_ai,True,0,14,1200233,0,0
neural_ai,True,0,14,1200234,0,0
neural_ai,True,0,7,1200235,0,0
neural_ai,True,0,7,1200236,0,0
neural_ai,True,0,7,1200237,0,0
neural_ai,True,0,14,1200238,0,0
neural_ai,True,0,7,1200239,0,0
neural_ai,True,0,7,1200240,0,0
neural_ai,True,0,7,1200241,0,0
neural_ai,True,0,7,1200242,0,0
neural_ai,True,0,7,1200243,0,0
